# Star magnitudes in versions of Ptolemy's catalog.
# Version letters:
# t : Toomer
# p : Peters & Knobel
# m : Manitius
# b : Baily
# h : Halma
# z : Flamsteed's version of Ptolemy's catalog
------+----+------+---
......|PNO |PID   |MAG
------+----+------+---
tpmbhz  147 Her 29 4
tpmbhz  148 Her~ 1 5
------+----+------+---
tpmbhz  149 Lyr  1 1
tpm     150 Lyr  2 4-3
   bhz             4
tpm     151 Lyr  3 4-3
   bhz             4
tpmbhz  152 Lyr  4 4
tpmbhz  153 Lyr  5 4
t mbhz  154 Lyr  6 4
 p                 4-5
tpmbhz  155 Lyr  7 3
tpm     156 Lyr  8 4-5
   bhz             4
tpmbhz  157 Lyr  9 3
tpm     158 Lyr 10 4-5
   bhz             4
------+----+------+---
tpmbh   159 Cyg  1 3
     z             5
tpmbh   160 Cyg  2 5
     z             3
tpm     161 Cyg  3 4-3
   bhz             4
tpmbhz  162 Cyg  4 3
tpmbhz  163 Cyg  5 2
tpmbhz  164 Cyg  6 3
tpmbhz  165 Cyg  7 4
tpm     166 Cyg  8 4-3
   bhz             4
tpm     167 Cyg  9 4-3
   bhz             4
tpmbhz  168 Cyg 10 3
tpm     169 Cyg 11 4-3
   bhz             4
tpmbhz  170 Cyg 12 3
tpm     171 Cyg 13 4-3
   bhz             4
tpm     172 Cyg 14 4-3
   bhz             4
tpmbhz  173 Cyg 15 4
tpmbhz  174 Cyg 16 4
tpmbhz  175 Cyg 17 5
tpm     176 Cyg~ 1 4-3
   bhz             4
tpm     177 Cyg~ 2 4-3
   bhz             4
------+----+------+---
tpm     178 Cas  1 4-3
   bhz             4
tpmbhz  179 Cas  2 3
tpmbhz  180 Cas  3 4
tpm     181 Cas  4 3-2
   bhz             3
tpmbhz  182 Cas  5 3
tpmbhz  183 Cas  6 4
tpmbhz  184 Cas  7 4
tpmbhz  185 Cas  8 4
tpmbhz  186 Cas  9 5
tpmbhz  187 Cas 10 6
tpm     188 Cas 11 4-5
   bhz             4
tpmbhz  189 Cas 12 3
tpmbhz  190 Cas 13 6
------+----+------+---
tpmbhz  191 Per  1 neb
tpmbhz  192 Per  2 4
tpm     193 Per  3 3-4
   bhz             3
tpmbhz  194 Per  4 4
tpmbhz  195 Per  5 4
tpmbhz  196 Per  6 4
tpmbhz  197 Per  7 2
tpmbhz  198 Per  8 4
tpmbhz  199 Per  9 4
tpmbhz  200 Per 10 3
tpmbhz  201 Per 11 4
tpmbhz  202 Per 12 2
tpmbhz  203 Per 13 4
tpmbhz  204 Per 14 4
tpmbhz  205 Per 15 4
tpmbhz  206 Per 16 4
tpmbhz  207 Per 17 4
tpmbhz  208 Per 18 4
tpmbhz  209 Per 19 4
tpmbhz  210 Per 20 5
t mbhz  211 Per 21 5
 p                 5-4
tpm     212 Per 22 4-3
   b z             4
    h              5
tpmbhz  213 Per 23 3
tpmbhz  214 Per 24 4
tpm     215 Per 25 3-4
   bhz             3
tpm     216 Per 26 3-2
   bhz             3
tpmbhz  217 Per~ 1 5
tpmbhz  218 Per~ 2 5
tpmbhz  219 Per~ 3 obs
------+----+------+---
tpmbhz  220 Aur  1 4
tpmbhz  221 Aur  2 4
tpmbhz  222 Aur  3 1
tpmbhz  223 Aur  4 2
tpmbhz  224 Aur  5 4
tpm     225 Aur  6 4-3
   bhz             4
tpm     226 Aur  7 4-3
   bhz             4
tpm     227 Aur  8 4-3
   bhz             4
tpmbhz  228 Aur  9 4
tpm     229 Aur 10 3-4
   bh              3
     z             6
tpm     230 Aur 11 3-2
   bh              3
     z             6
tpmbhz  231 Aur 12 5
tpmbhz  232 Aur 13 5
tpmbh   233 Aur 14 6
     z             5
------+----+------+---
tpm     234 Oph  1 3-2
   bhz             3
tpm     235 Oph  2 4-3
   bhz             4
tpmbhz  236 Oph  3 4
tpmbhz  237 Oph  4 4
tpmbhz  238 Oph  5 4
tpmbhz  239 Oph  6 4
tpmbhz  240 Oph  7 3
tpmbhz  241 Oph  8 3
tpmbhz  242 Oph  9 4
tpm     243 Oph 10 4-5
   bhz             4
tpmbhz  244 Oph 11 4
tpmbhz  245 Oph 12 3
tpm     246 Oph 13 4-3
   bhz             4
tpmbhz  247 Oph 14 4
tpm     248 Oph 15 4-3
   bhz             4
tpmbhz  249 Oph 16 4
tpmbhz  250 Oph 17 5
tpmbhz  251 Oph 18 5
tpmbhz  252 Oph 19 3
tpm     253 Oph 20 5-4
   bhz             5
tpmbhz  254 Oph 21 5
